,name,discord,released,release-date,romhack,gametypes,platforms,regions,genres,engines,developers,publishers,created,links
10,'Splosion Man,,2009,2009-07-22,False,[],[],"['USA / NTSC', 'EUR / PAL', 'JPN / NTSC', 'KOR / NTSC']",[],[],[],[],2017-04-10T04:06:31Z,"[{'rel': 'self', 'uri': 'https://www.speedrun.com/api/v1/games/m1m8opd2'}, {'rel': 'runs', 'uri': 'https://www.speedrun.com/api/v1/runs?game=m1m8opd2'}, {'rel': 'levels', 'uri': 'https://www.speedrun.com/api/v1/games/m1m8opd2/levels'}, {'rel': 'categories', 'uri': 'https://www.speedrun.com/api/v1/games/m1m8opd2/categories'}, {'rel': 'variables', 'uri': 'https://www.speedrun.com/api/v1/games/m1m8opd2/variables'}, {'rel': 'records', 'uri': 'https://www.speedrun.com/api/v1/games/m1m8opd2/records'}, {'rel': 'series', 'uri': 'https://www.speedrun.com/api/v1/series/yr4gon12'}, {'rel': 'derived-games', 'uri': 'https://www.speedrun.com/api/v1/games/m1m8opd2/derived-games'}, {'rel': 'romhacks', 'uri': 'https://www.speedrun.com/api/v1/games/m1m8opd2/derived-games'}, {'rel': 'leaderboard', 'uri': 'https://www.speedrun.com/api/v1/leaderboards/m1m8opd2/category/5dwygl0k'}]"
11,(ben) bonk the ball,https://discord.gg/jXF6qXvrpD,2021,2021-05-15,False,[],[],[],[],[],[],[],2021-05-23T14:59:47Z,"[{'rel': 'self', 'uri': 'https://www.speedrun.com/api/v1/games/j1n8ell1'}, {'rel': 'runs', 'uri': 'https://www.speedrun.com/api/v1/runs?game=j1n8ell1'}, {'rel': 'levels', 'uri': 'https://www.speedrun.com/api/v1/games/j1n8ell1/levels'}, {'rel': 'categories', 'uri': 'https://www.speedrun.com/api/v1/games/j1n8ell1/categories'}, {'rel': 'variables', 'uri': 'https://www.speedrun.com/api/v1/games/j1n8ell1/variables'}, {'rel': 'records', 'uri': 'https://www.speedrun.com/api/v1/games/j1n8ell1/records'}, {'rel': 'series', 'uri': 'https://www.speedrun.com/api/v1/series/yr4gon12'}, {'rel': 'derived-games', 'uri': 'https://www.speedrun.com/api/v1/games/j1n8ell1/derived-games'}, {'rel': 'romhacks', 'uri': 'https://www.speedrun.com/api/v1/games/j1n8ell1/derived-games'}, {'rel': 'leaderboard', 'uri': 'https://www.speedrun.com/api/v1/leaderboards/j1n8ell1/category/9d8o5y62'}]"
12,(Mario) The Music Box -ARC-,https://discord.gg/BWbj7Bp,2019,2019-01-17,True,['d91jd1ex'],[],[],[],[],[],[],2020-08-11T18:47:11Z,"[{'rel': 'self', 'uri': 'https://www.speedrun.com/api/v1/games/lde3q7x6'}, {'rel': 'runs', 'uri': 'https://www.speedrun.com/api/v1/runs?game=lde3q7x6'}, {'rel': 'levels', 'uri': 'https://www.speedrun.com/api/v1/games/lde3q7x6/levels'}, {'rel': 'categories', 'uri': 'https://www.speedrun.com/api/v1/games/lde3q7x6/categories'}, {'rel': 'variables', 'uri': 'https://www.speedrun.com/api/v1/games/lde3q7x6/variables'}, {'rel': 'records', 'uri': 'https://www.speedrun.com/api/v1/games/lde3q7x6/records'}, {'rel': 'series', 'uri': 'https://www.speedrun.com/api/v1/series/xn05xx72'}, {'rel': 'base-game', 'uri': 'https://www.speedrun.com/api/v1/games/'}, {'rel': 'game', 'uri': 'https://www.speedrun.com/api/v1/games/'}, {'rel': 'derived-games', 'uri': 'https://www.speedrun.com/api/v1/games/lde3q7x6/derived-games'}, {'rel': 'romhacks', 'uri': 'https://www.speedrun.com/api/v1/games/lde3q7x6/derived-games'}, {'rel': 'leaderboard', 'uri': 'https://www.speedrun.com/api/v1/leaderboards/lde3q7x6/category/mke4vv62'}]"
13,(Mario) The Music Box Remastered,https://discord.com/invite/svD6xjK,2021,2021-02-26,True,['d91jd1ex'],[],"['USA / NTSC', 'EUR / PAL']",[],[],[],[],2021-06-28T23:30:43Z,"[{'rel': 'self', 'uri': 'https://www.speedrun.com/api/v1/games/76r335l6'}, {'rel': 'runs', 'uri': 'https://www.speedrun.com/api/v1/runs?game=76r335l6'}, {'rel': 'levels', 'uri': 'https://www.speedrun.com/api/v1/games/76r335l6/levels'}, {'rel': 'categories', 'uri': 'https://www.speedrun.com/api/v1/games/76r335l6/categories'}, {'rel': 'variables', 'uri': 'https://www.speedrun.com/api/v1/games/76r335l6/variables'}, {'rel': 'records', 'uri': 'https://www.speedrun.com/api/v1/games/76r335l6/records'}, {'rel': 'series', 'uri': 'https://www.speedrun.com/api/v1/series/xn05xx72'}, {'rel': 'base-game', 'uri': 'https://www.speedrun.com/api/v1/games/'}, {'rel': 'game', 'uri': 'https://www.speedrun.com/api/v1/games/'}, {'rel': 'derived-games', 'uri': 'https://www.speedrun.com/api/v1/games/76r335l6/derived-games'}, {'rel': 'romhacks', 'uri': 'https://www.speedrun.com/api/v1/games/76r335l6/derived-games'}, {'rel': 'leaderboard', 'uri': 'https://www.speedrun.com/api/v1/leaderboards/76r335l6/category/z27mxxg2'}]"
14,(The) Final Fantasy Legend,,1990,1990-09-30,False,[],[],"['USA / NTSC', 'EUR / PAL', 'JPN / NTSC']",[],[],[],[],2016-01-01T01:48:08Z,"[{'rel': 'self', 'uri': 'https://www.speedrun.com/api/v1/games/9d3yzw6l'}, {'rel': 'runs', 'uri': 'https://www.speedrun.com/api/v1/runs?game=9d3yzw6l'}, {'rel': 'levels', 'uri': 'https://www.speedrun.com/api/v1/games/9d3yzw6l/levels'}, {'rel': 'categories', 'uri': 'https://www.speedrun.com/api/v1/games/9d3yzw6l/categories'}, {'rel': 'variables', 'uri': 'https://www.speedrun.com/api/v1/games/9d3yzw6l/variables'}, {'rel': 'records', 'uri': 'https://www.speedrun.com/api/v1/games/9d3yzw6l/records'}, {'rel': 'series', 'uri': 'https://www.speedrun.com/api/v1/series/8nwp6q7y'}, {'rel': 'derived-games', 'uri': 'https://www.speedrun.com/api/v1/games/9d3yzw6l/derived-games'}, {'rel': 'romhacks', 'uri': 'https://www.speedrun.com/api/v1/games/9d3yzw6l/derived-games'}, {'rel': 'leaderboard', 'uri': 'https://www.speedrun.com/api/v1/leaderboards/9d3yzw6l/category/9d8pz73k'}]"
15,*NEW* SCUFFED BHOP SIMULATION 2026 GOTY EDITION,https://discord.gg/cE3d8N6d55,2022,2022-03-25,False,[],[],[],[],[],[],[],2022-03-27T16:35:51Z,"[{'rel': 'self', 'uri': 'https://www.speedrun.com/api/v1/games/y6552w06'}, {'rel': 'runs', 'uri': 'https://www.speedrun.com/api/v1/runs?game=y6552w06'}, {'rel': 'levels', 'uri': 'https://www.speedrun.com/api/v1/games/y6552w06/levels'}, {'rel': 'categories', 'uri': 'https://www.speedrun.com/api/v1/games/y6552w06/categories'}, {'rel': 'variables', 'uri': 'https://www.speedrun.com/api/v1/games/y6552w06/variables'}, {'rel': 'records', 'uri': 'https://www.speedrun.com/api/v1/games/y6552w06/records'}, {'rel': 'series', 'uri': 'https://www.speedrun.com/api/v1/series/yr4gon12'}, {'rel': 'derived-games', 'uri': 'https://www.speedrun.com/api/v1/games/y6552w06/derived-games'}, {'rel': 'romhacks', 'uri': 'https://www.speedrun.com/api/v1/games/y6552w06/derived-games'}]"
16,*NEW* SCUFFED EPIC BHOP SIMULATOR 2023 (POG CHAMP),https://discord.gg/bhop,2020,2020-11-26,False,[],[],[],[],[],[],[],2021-06-05T13:37:33Z,"[{'rel': 'self', 'uri': 'https://www.speedrun.com/api/v1/games/v1pxx376'}, {'rel': 'runs', 'uri': 'https://www.speedrun.com/api/v1/runs?game=v1pxx376'}, {'rel': 'levels', 'uri': 'https://www.speedrun.com/api/v1/games/v1pxx376/levels'}, {'rel': 'categories', 'uri': 'https://www.speedrun.com/api/v1/games/v1pxx376/categories'}, {'rel': 'variables', 'uri': 'https://www.speedrun.com/api/v1/games/v1pxx376/variables'}, {'rel': 'records', 'uri': 'https://www.speedrun.com/api/v1/games/v1pxx376/records'}, {'rel': 'series', 'uri': 'https://www.speedrun.com/api/v1/series/yr4gon12'}, {'rel': 'derived-games', 'uri': 'https://www.speedrun.com/api/v1/games/v1pxx376/derived-games'}, {'rel': 'romhacks', 'uri': 'https://www.speedrun.com/api/v1/games/v1pxx376/derived-games'}]"
17,- Pixel Sheep -,,2016,2016-02-18,True,['go1lem4p'],[],[],[],[],[],[],2022-02-14T16:26:23Z,"[{'rel': 'self', 'uri': 'https://www.speedrun.com/api/v1/games/268wv896'}, {'rel': 'runs', 'uri': 'https://www.speedrun.com/api/v1/runs?game=268wv896'}, {'rel': 'levels', 'uri': 'https://www.speedrun.com/api/v1/games/268wv896/levels'}, {'rel': 'categories', 'uri': 'https://www.speedrun.com/api/v1/games/268wv896/categories'}, {'rel': 'variables', 'uri': 'https://www.speedrun.com/api/v1/games/268wv896/variables'}, {'rel': 'records', 'uri': 'https://www.speedrun.com/api/v1/games/268wv896/records'}, {'rel': 'series', 'uri': 'https://www.speedrun.com/api/v1/series/yr4gon12'}, {'rel': 'derived-games', 'uri': 'https://www.speedrun.com/api/v1/games/268wv896/derived-games'}, {'rel': 'romhacks', 'uri': 'https://www.speedrun.com/api/v1/games/268wv896/derived-games'}, {'rel': 'leaderboard', 'uri': 'https://www.speedrun.com/api/v1/leaderboards/268wv896/category/xk9xxn4k'}]"
18,-SPROUT-,https://discord.gg/t5yuSSH,2020,2020-07-30,False,[],[],"['USA / NTSC', 'EUR / PAL', 'JPN / NTSC', 'CHN / PAL', 'KOR / NTSC', 'BRA / PAL']",[],[],[],[],2020-08-08T15:58:17Z,"[{'rel': 'self', 'uri': 'https://www.speedrun.com/api/v1/games/46w3n071'}, {'rel': 'runs', 'uri': 'https://www.speedrun.com/api/v1/runs?game=46w3n071'}, {'rel': 'levels', 'uri': 'https://www.speedrun.com/api/v1/games/46w3n071/levels'}, {'rel': 'categories', 'uri': 'https://www.speedrun.com/api/v1/games/46w3n071/categories'}, {'rel': 'variables', 'uri': 'https://www.speedrun.com/api/v1/games/46w3n071/variables'}, {'rel': 'records', 'uri': 'https://www.speedrun.com/api/v1/games/46w3n071/records'}, {'rel': 'series', 'uri': 'https://www.speedrun.com/api/v1/series/yr4gon12'}, {'rel': 'derived-games', 'uri': 'https://www.speedrun.com/api/v1/games/46w3n071/derived-games'}, {'rel': 'romhacks', 'uri': 'https://www.speedrun.com/api/v1/games/46w3n071/derived-games'}]"
19,...Iru!,,1998,1998-03-26,False,[],[],"['USA / NTSC', 'JPN / NTSC']",[],[],[],[],2021-07-23T16:46:02Z,"[{'rel': 'self', 'uri': 'https://www.speedrun.com/api/v1/games/y655rn36'}, {'rel': 'runs', 'uri': 'https://www.speedrun.com/api/v1/runs?game=y655rn36'}, {'rel': 'levels', 'uri': 'https://www.speedrun.com/api/v1/games/y655rn36/levels'}, {'rel': 'categories', 'uri': 'https://www.speedrun.com/api/v1/games/y655rn36/categories'}, {'rel': 'variables', 'uri': 'https://www.speedrun.com/api/v1/games/y655rn36/variables'}, {'rel': 'records', 'uri': 'https://www.speedrun.com/api/v1/games/y655rn36/records'}, {'rel': 'series', 'uri': 'https://www.speedrun.com/api/v1/series/yr4gon12'}, {'rel': 'derived-games', 'uri': 'https://www.speedrun.com/api/v1/games/y655rn36/derived-games'}, {'rel': 'romhacks', 'uri': 'https://www.speedrun.com/api/v1/games/y655rn36/derived-games'}, {'rel': 'leaderboard', 'uri': 'https://www.speedrun.com/api/v1/leaderboards/y655rn36/category/xk9wym42'}]"
20,..and the mooncats,,2015,2015-12-14,False,[],[],[],[],[],[],[],2017-05-07T01:17:27Z,"[{'rel': 'self', 'uri': 'https://www.speedrun.com/api/v1/games/m1m8r3d2'}, {'rel': 'runs', 'uri': 'https://www.speedrun.com/api/v1/runs?game=m1m8r3d2'}, {'rel': 'levels', 'uri': 'https://www.speedrun.com/api/v1/games/m1m8r3d2/levels'}, {'rel': 'categories', 'uri': 'https://www.speedrun.com/api/v1/games/m1m8r3d2/categories'}, {'rel': 'variables', 'uri': 'https://www.speedrun.com/api/v1/games/m1m8r3d2/variables'}, {'rel': 'records', 'uri': 'https://www.speedrun.com/api/v1/games/m1m8r3d2/records'}, {'rel': 'series', 'uri': 'https://www.speedrun.com/api/v1/series/yr4gon12'}, {'rel': 'derived-games', 'uri': 'https://www.speedrun.com/api/v1/games/m1m8r3d2/derived-games'}, {'rel': 'romhacks', 'uri': 'https://www.speedrun.com/api/v1/games/m1m8r3d2/derived-games'}, {'rel': 'leaderboard', 'uri': 'https://www.speedrun.com/api/v1/leaderboards/m1m8r3d2/category/zdnrnvq2'}]"
21,.cat Milk,,2021,2021-08-13,False,[],[],[],[],[],[],[],2021-11-18T17:01:53Z,"[{'rel': 'self', 'uri': 'https://www.speedrun.com/api/v1/games/o6gnx591'}, {'rel': 'runs', 'uri': 'https://www.speedrun.com/api/v1/runs?game=o6gnx591'}, {'rel': 'levels', 'uri': 'https://www.speedrun.com/api/v1/games/o6gnx591/levels'}, {'rel': 'categories', 'uri': 'https://www.speedrun.com/api/v1/games/o6gnx591/categories'}, {'rel': 'variables', 'uri': 'https://www.speedrun.com/api/v1/games/o6gnx591/variables'}, {'rel': 'records', 'uri': 'https://www.speedrun.com/api/v1/games/o6gnx591/records'}, {'rel': 'series', 'uri': 'https://www.speedrun.com/api/v1/series/yr4gon12'}, {'rel': 'derived-games', 'uri': 'https://www.speedrun.com/api/v1/games/o6gnx591/derived-games'}, {'rel': 'romhacks', 'uri': 'https://www.speedrun.com/api/v1/games/o6gnx591/derived-games'}, {'rel': 'leaderboard', 'uri': 'https://www.speedrun.com/api/v1/leaderboards/o6gnx591/category/zd3j3nv2'}]"
22,.flow,https://discord.gg/kzcfddU,2009,2009-02-15,True,['d91jd1ex'],[],"['USA / NTSC', 'JPN / NTSC']",[],[],[],[],2016-03-12T15:42:32Z,"[{'rel': 'self', 'uri': 'https://www.speedrun.com/api/v1/games/y65e0e6e'}, {'rel': 'runs', 'uri': 'https://www.speedrun.com/api/v1/runs?game=y65e0e6e'}, {'rel': 'levels', 'uri': 'https://www.speedrun.com/api/v1/games/y65e0e6e/levels'}, {'rel': 'categories', 'uri': 'https://www.speedrun.com/api/v1/games/y65e0e6e/categories'}, {'rel': 'variables', 'uri': 'https://www.speedrun.com/api/v1/games/y65e0e6e/variables'}, {'rel': 'records', 'uri': 'https://www.speedrun.com/api/v1/games/y65e0e6e/records'}, {'rel': 'series', 'uri': 'https://www.speedrun.com/api/v1/series/yr4gon12'}, {'rel': 'base-game', 'uri': 'https://www.speedrun.com/api/v1/games/y6557e6e'}, {'rel': 'game', 'uri': 'https://www.speedrun.com/api/v1/games/y6557e6e'}, {'rel': 'derived-games', 'uri': 'https://www.speedrun.com/api/v1/games/y65e0e6e/derived-games'}, {'rel': 'romhacks', 'uri': 'https://www.speedrun.com/api/v1/games/y65e0e6e/derived-games'}, {'rel': 'leaderboard', 'uri': 'https://www.speedrun.com/api/v1/leaderboards/y65e0e6e/category/7dg8qnp2'}]"
23,.hack//G.U. Last Recode,,2017,2017-11-01,False,[],[],"['USA / NTSC', 'EUR / PAL', 'JPN / NTSC']",[],[],[],[],2017-11-05T10:37:14Z,"[{'rel': 'self', 'uri': 'https://www.speedrun.com/api/v1/games/nd2ekj5d'}, {'rel': 'runs', 'uri': 'https://www.speedrun.com/api/v1/runs?game=nd2ekj5d'}, {'rel': 'levels', 'uri': 'https://www.speedrun.com/api/v1/games/nd2ekj5d/levels'}, {'rel': 'categories', 'uri': 'https://www.speedrun.com/api/v1/games/nd2ekj5d/categories'}, {'rel': 'variables', 'uri': 'https://www.speedrun.com/api/v1/games/nd2ekj5d/variables'}, {'rel': 'records', 'uri': 'https://www.speedrun.com/api/v1/games/nd2ekj5d/records'}, {'rel': 'series', 'uri': 'https://www.speedrun.com/api/v1/series/8nwjpj7y'}, {'rel': 'derived-games', 'uri': 'https://www.speedrun.com/api/v1/games/nd2ekj5d/derived-games'}, {'rel': 'romhacks', 'uri': 'https://www.speedrun.com/api/v1/games/nd2ekj5d/derived-games'}, {'rel': 'leaderboard', 'uri': 'https://www.speedrun.com/api/v1/leaderboards/nd2ekj5d/category/9d866g62'}]"
